Provincia,4TRIM2020,3TRIM2020,2TRIM2020,1TRIM2020,4TRIM2019,Referencia Mbps
Capital Federal,67,64,60,59,44,Más de 50
Buenos Aires,50,48,46,45,31,40 A 49
Catamarca,38,37,35,29,25,30 A 39
Tucumán,36,35,33,32,30,20 A 29
Córdoba,35,34,31,29,26,16 A 19
Neuquén,34,31,29,28,26,15 o MENOS
Chaco,32,31,28,26,23,
Santa Fe,27,26,24,22,21,
Corrientes,25,24,22,21,19,
Jujuy,25,22,16,14,13,
Misiones,25,24,23,22,20,
Salta,25,25,23,21,19,
Entre Ríos,24,22,20,19,17,
Río Negro,22,21,20,19,17,
San Luis,21,21,21,21,21,
Formosa,20,18,17,16,15,
La Rioja,13,12,12,8,8,
Mendoza,11,10,9,8,8,
Santiago Del Estero,11,11,10,10,10,
La Pampa,10,11,8,7,7,
Tierra Del Fuego,8,9,8,7,7,
Chubut,7,7,8,7,7,
Santa Cruz,7,7,7,6,5,
San Juan,6,6,6,6,6,
